"","Population","treatment","mf","X3MSO","OHAlkenyl","X4MSO","Allyl","X5MSO","Butenyl","X3MT","MSOO","OHI3M","X4MT","Flavonol16","I3M","Flavonol17","Flavonol18","Indole","totalaliphatic","totalindole","totalGSL","logGSL","logindoles","logaliphatics"
"124","SQ2","CW",12,14.696405,19.136145,8.264185,307.91026,17.122115,226.246825,0,0,7.215185,10.122155,20.895945,122.91984,22.42253,60.331025,8.960245,603.49809,139.09527,742.59336,2.85812384322729,1.70801104991429,2.77934851830338
"125","SQ2","CW",14,47.003935,0,0,1085.090425,33.538575,13.501085,4.86088,11.819575,0,0,39.07312,33.5825,22.803425,58.624025,11.51321,1195.814475,45.09571,1240.910185,3.08262151920357,1.65225671598131,3.06603582144201
"126","SQ2","CW",15,76.489755,0,0,730.393735,42.34972,0,8.547335,7.632685,0,0,22.00215,111.737855,8.301345,33.31865,4.836685,865.41323,116.57454,981.98777,2.98886842463467,2.02262959404805,2.93581653163621
"127","SQ2","CW",17,38.98315,0,0,97.11104,0,52.45895,39.98735,0,0,0,9.68906,16.04176,0,63.89079,56.08852,228.54049,72.13028,300.67077,2.47809120979411,1.85811761806583,2.35896315419042
"128","SQ2","CW",18,0,0,0,741.13998,0,77.507925,21.782065,13.29156,8.20543,3.4214,15.40108,273.84844,0,41.760715,4.50103,857.14293,286.5549,1143.69783,3.03274710671045,2.12931263855929,2.9281391803738
"129","SQ2","CW",20,16.17048,28.117365,0,1296.835235,26.40389,146.929295,3.93886,22.45608,38.814515,10.00916,32.116125,258.72312,6.03302,43.06314,8.326975,1550.860365,305.86461,1856.724975,3.24894030544988,2.48514798288633,3.16011608524353
"130","TFC","C",2,45.169345,0,39.04708,53.13191,0,140.954505,10.8401,0,0,0,14.0899,109.503865,0,24.01097,30.45387,289.14294,139.957735,429.100675,2.63174183237673,2.13191883865598,2.46091297042527
"131","TFC","C",3,64.539625,0,7.40086,471.9705,10.429955,44.62031,0,0,0,5.617715,28.97339,102.208135,0,87.82279,9.68093,604.578965,111.889065,716.46803,2.74968065552295,2.04842729123506,2.60726478939827
"132","TFC","CW",1,16.99352,0,27.65107,112.77805,0,416.3038,29.85018,0,0,23.95439,9.16117,74.94034,0,68.96446,38.56384,627.53101,113.50418,741.03519,2.86983883208181,2.05501185551599,2.79763519172937
"133","TFC","CW",2,36.46841,0,19.745235,153.865265,0,206.461685,16.504505,17.576735,94.38443,0,13.64307,76.066975,40.204875,81.121395,5.205475,450.621835,175.65688,626.278715,2.79605451279019,2.01826423725264,2.6173330406608
"134","TFC","CW",3,0,0,27.81493,35.73802,0,387.09464,15.39573,0,0,25.14973,12.71755,268.4971,0,55.23009,27.0403,491.19305,295.5374,786.73045,2.89582595964041,2.47061244828271,2.69125221324711
"135","TM2","C",3,0,0,66.72554,0,0,572.05267,0,0,0,0,23.39224,609.94281,0,74.41832,22.00725,638.77821,631.95006,1270.72827,3.10405269181579,2.80068275941628,2.80535009306731
"136","TM2","C",4,0,0,0,68.07956,0,354.73969,12.11014,0,0,7.33754,14.80138,0,0,48.42652,20.99249,442.26693,20.99249,463.25942,2.66582425910248,1.32206395497703,2.64568446671426
"137","TM2","C",5,15.18536,0,0,106.26087,0,674.63892,76.06673,0,0,8.4068,29.15818,45.84792,48.0951,67.07842,9.34602,880.55868,55.19394,935.75262,2.9711610517629,1.74189139713074,2.94475830243963
"138","TM2","C",6,28.92895,0,0,286.65445,0,20.02888,89.06741,0,0,0,21.8376,0,0,17.8236,0,424.67969,0,424.67969,2.62806149166682,-Inf,2.62806149166682
"139","TM2","C",7,0,0,20.96597,0,0,666.88116,0,32.77559,0,0,24.19585,0,0,16.54038,10.13019,720.62272,10.13019,730.75291,2.86377055347788,1.00561759098493,2.85770795056351
"140","TM2","C",9,0,0,39.562665,6.130125,9.190275,507.999775,0,28.813885,0,0,8.032005,16.647995,0,30.168185,74.573175,591.696725,91.22117,682.917895,2.83351759846515,1.95701975246864,2.77146752739575
"141","TM2","C",10,48.03829,0,40.8866,143.43022,0,300.46194,0,0,15.70026,0,8.2824,24.97082,0,19.5652,0,532.81705,40.67108,573.48813,2.75852443334653,1.60928570502846,2.72657811368935
"142","TM2","C",11,35.386845,0,48.677745,284.251235,0,564.30081,12.93435,53.73855,16.716385,10.752365,13.26148,47.76371,0,43.48068,47.253045,1010.0419,111.73314,1121.77504,2.99658254712454,2.04325138564017,2.94138656561469
"143","TM2","CW",3,0,0,23.92521,22.53256,0,252.46712,21.81034,0,0,45.06731,13.23376,0,0,29.36211,9.71622,365.80254,9.71622,375.51876,2.57463163817365,0.987497339779071,2.56324671673404
"144","TM2","CW",4,0,0,0,0,0,442.77219,0,0,0,10.25578,22.71957,11.8741,7.79533,51.43486,49.16248,453.02797,61.03658,514.06455,2.71101765586039,1.78559019125188,2.65612501623284
"145","TM2","CW",5,0,0,0,168.49442,0,458.70181,12.6022,0,23.53554,10.9399,10.41641,39.56096,0,25.10294,0,650.73833,63.0965,713.83483,2.85359773458037,1.80000526934169,2.81340638844159
"146","TM2","CW",6,0,0,0,662.06891,19.51532,0,0,0,0,0,27.97562,21.76685,0,67.70444,63.04531,681.58423,84.81216,766.39639,2.88445345039359,1.92845812398191,2.83351953348515
"147","TM2","CW",7,0,0,65.694515,46.472525,18.34035,447.57564,8.21057,0,0,18.871055,16.713885,31.52604,0,34.542505,24.92167,605.164655,56.44771,661.612365,2.80931814108779,1.75157379560967,2.76811979067568
"148","TM2","CW",9,0,0,24.28499,71.87613,0,465.08566,28.85888,0,127.5673,31.25725,47.2929,22.02597,9.81121,131.65541,0,621.36291,149.59327,770.95618,2.88702969410151,2.17491205564336,2.79334532606238
"149","TM2","CW",10,0,0,0,184.92499,0,467.20676,12.94427,0,45.22648,8.26966,18.11184,19.06431,0,30.92433,6.78868,673.34568,71.07947,744.42515,2.87182103711014,1.85174418085339,2.82823807815277
"150","TM2","CW",11,0,0,0,269.796155,9.67337,269.8107,11.66863,85.46634,0,13.708055,11.676595,250.442415,0,31.892155,21.532155,660.12325,271.97457,932.09782,2.87944317024966,2.12423462564748,2.7671629393944
"151","WL1","C",2,0,197.08757,0,17.34886,0,638.68549,0,0,0,0,10.71441,52.61631,0,28.94375,35.18685,853.12192,87.80316,940.92508,2.97355504464094,1.94351014626905,2.93101110080358
"152","WL1","C",9,0,47.43738,0,12.07771,0,1079.81763,0,0,0,0,11.09161,42.06924,0,24.07632,54.38713,1139.33272,96.45637,1235.78909,3.09194435678428,1.98433091383059,3.05665056987276
"153","WL1","C",11,0,21.76838,0,404.249665,0,223.55757,7.0667,0,0,0,20.674165,10.111645,0,31.89774,85.39969,656.642315,95.511335,752.15365,2.873793556806,1.63296508993808,2.80298973484514
"154","WL1","CW",2,24.61815,0,0,117.79003,0,461.59506,79.61486,0,0,0,36.78617,0,11.78513,58.32275,14.191,683.6181,14.191,697.8091,2.8437366287034,1.15201300005083,2.83481355291654
"155","WL1","CW",9,0,87.17975,0,0,19.770575,856.363555,0,3.62338,0,0,6.90565,123.364365,3.793715,19.19568,4.191005,966.93726,127.55537,1094.49263,3.0187379051132,1.99921001149785,2.94288541403904
"156","WL1","CW",11,0,208.3349,0,31.59771,39.38322,1385.17761,0,0,7.92084,15.64503,45.97405,194.74316,0,19.66807,0,1680.13847,202.664,1882.80247,3.27480475937466,2.3067766101144,3.22534507593939
"157","WL2","C",1,0,129.10197,0,0,14.13412,630.24976,0,0,0,0,10.64434,69.08279,0,9.18423,6.63065,773.48585,75.71344,849.19929,2.92900962238844,1.87917297857202,2.8884523732091
"158","WL2","C",10,0,50.922505,20.889365,0,5.393745,495.563645,0,0,0,0,8.210895,23.157515,0,11.19741,5.185735,572.76926,28.34325,601.11251,2.77187499065801,1.44634059871847,2.75084888950214
"159","WL2","C",11,0,38.957735,70.33969,7.562755,0,514.89772,0,46.11225,0,7.678125,8.94137,42.061035,0,24.345935,21.186165,685.548275,63.2472,748.795475,2.86398061294282,1.76988350414271,2.82696609668882
"160","WL2","C",12,0,73.22379,0,0,0,469.9339,0,0,0,0,28.35636,30.21982,0,15.17581,9.75975,543.15769,39.97957,583.13726,2.76577079188479,1.6018381187558,2.73492593263625
"161","WL2","CW",1,0,0,44.27076,17.25258,0,146.90495,0,34.13763,0,62.79377,31.76365,0,10.44703,70.39075,29.74275,305.35969,29.74275,335.10244,2.52517759009931,1.47338112069605,2.48481170604715
"162","WL2","CW",10,0,138.22919,49.04897,11.14028,0,190.21606,0,0,0,22.19391,23.0381,286.64935,0,21.83677,0,410.82841,286.64935,697.47776,2.843530364113,2.45735096131483,2.61366046871201
"163","WL2","CW",11,28.391025,82.33399,44.79641,24.60906,21.80582,283.71192,13.78,0,0,4.63635,31.616475,62.75921,7.853935,67.13347,26.224585,504.064575,88.983795,593.04837,2.77175353268398,1.57597734437983,2.68822765636987
"164","WL2","CW",12,0,90.1351,0,16.15734,14.50384,658.7818,0,0,0,20.96882,31.78862,104.72943,0,60.89448,0,800.5469,104.72943,905.27633,2.95678116514595,2.02006873985077,2.90338678012109
"165","WL3","C",1,0,0,0,58.73165,0,280.0354,13.85468,10.02432,0,9.65252,17.99688,0,0,112.41267,14.72027,372.29857,14.72027,387.01884,2.58773210690233,1.16791577592775,2.5708913680951
"166","WL3","C",14,8.83939,0,33.13004,43.59981,12.807465,468.922745,13.253905,5.12539,0,15.96515,4.48179,31.85768,0,36.47856,41.64962,601.643895,73.5073,675.151195,2.81367281279098,1.86300879322191,2.75714891457199
"167","WL3","CW",1,0,0,78.79494,0,26.85981,1023.58588,0,71.50494,0,35.35194,25.89827,40.50755,0,47.8175,73.94879,1236.09751,114.45634,1350.55385,3.13051190528882,2.05863985424739,3.09205273158173
"168","WL3","CW",14,0,224.06863,35.42372,13.48699,11.55882,442.8111,0,0,0,0,9.25884,396.36249,0,34.86601,9.57318,727.34926,405.93567,1133.28493,3.05433911372011,2.60845721491308,2.86174300132329
"169","YO10","C",5,0,0,0,156.531715,0,633.72211,8.64142,19.94497,0,5.97467,5.61228,103.40667,0,41.750385,54.70106,824.814885,158.10773,982.922615,2.94322910853073,2.197334752077,2.84774462153344
"170","YO10","CW",5,0,0,14.76747,18.96481,0,760.782255,14.02397,0,4.91581,28.134585,6.57557,54.064205,0,52.80513,43.983435,836.67309,102.96345,939.63654,2.96735140815969,2.001828329849,2.91309259407486
"171","YOSE8","C",1,125.41475,0,0,430.68674,0,0,115.58228,0,0,0,0,12.06741,0,39.67817,14.24169,671.68377,26.3091,697.99287,2.84385098632592,1.42010599169197,2.82716485449998
"172","YOSE8","C",5,41.83135,0,17.107135,145.82444,0,220.78195,36.390825,0,0,7.607175,13.269775,15.63132,0,59.411125,72.566765,469.542875,88.198085,557.74096,2.70568851160552,1.94013933256035,2.61951662384212
"173","YOSE8","CW",1,44.99855,0,0,253.67984,0,41.04061,0,87.95624,0,11.72419,8.11348,15.67885,16.52942,25.52154,7.914,439.39943,23.59285,462.99228,2.66557374958955,1.3727804065283,2.64285948920712
"174","YOSE8","CW",5,0,0,24.617865,5.99046,7.87498,462.61821,0,12.366485,0,9.156515,10.950565,95.79354,0,19.13938,5.689085,522.624515,101.482625,624.10714,2.76755134523741,1.89696343111213,2.69895540822179
